,Doors,Cars,Win %
0,3.0,1.0,0.6688
1,4.0,1.0,0.3762
2,4.0,2.0,0.746
3,5.0,1.0,0.2674
4,5.0,2.0,0.5407
5,5.0,3.0,0.8028
6,6.0,1.0,0.2109
7,6.0,2.0,0.4052
8,6.0,3.0,0.619
9,6.0,4.0,0.8335
10,7.0,1.0,0.1696
11,7.0,2.0,0.3515
12,7.0,3.0,0.5098
13,7.0,4.0,0.6809
14,7.0,5.0,0.8558
15,8.0,1.0,0.1443
16,8.0,2.0,0.2926
17,8.0,3.0,0.443
18,8.0,4.0,0.5865
19,8.0,5.0,0.7351
20,8.0,6.0,0.8799
21,9.0,1.0,0.1278
22,9.0,2.0,0.257
23,9.0,3.0,0.3799
24,9.0,4.0,0.506
25,9.0,5.0,0.6343
26,9.0,6.0,0.7574
27,9.0,7.0,0.8943
28,10.0,1.0,0.1191
29,10.0,2.0,0.2202
30,10.0,3.0,0.3286
31,10.0,4.0,0.4534
32,10.0,5.0,0.5605
33,10.0,6.0,0.6774
34,10.0,7.0,0.7848
35,10.0,8.0,0.8989
36,11.0,1.0,0.0968
37,11.0,2.0,0.2032
38,11.0,3.0,0.3026
39,11.0,4.0,0.4092
40,11.0,5.0,0.4959
41,11.0,6.0,0.5953
42,11.0,7.0,0.704
43,11.0,8.0,0.8048
44,11.0,9.0,0.9081
45,12.0,1.0,0.0912
46,12.0,2.0,0.1845
47,12.0,3.0,0.2754
48,12.0,4.0,0.3682
49,12.0,5.0,0.4554
50,12.0,6.0,0.5455
51,12.0,7.0,0.6394
52,12.0,8.0,0.7261
53,12.0,9.0,0.8273
54,12.0,10.0,0.9182
55,13.0,1.0,0.0866
56,13.0,2.0,0.1697
57,13.0,3.0,0.2514
58,13.0,4.0,0.3381
59,13.0,5.0,0.4177
60,13.0,6.0,0.504
61,13.0,7.0,0.5941
62,13.0,8.0,0.6745
63,13.0,9.0,0.753
64,13.0,10.0,0.8387
65,13.0,11.0,0.9214
66,14.0,1.0,0.0778
67,14.0,2.0,0.1606
68,14.0,3.0,0.2257
69,14.0,4.0,0.3089
70,14.0,5.0,0.391
71,14.0,6.0,0.4636
72,14.0,7.0,0.5412
73,14.0,8.0,0.6131
74,14.0,9.0,0.696
75,14.0,10.0,0.7794
76,14.0,11.0,0.847
77,14.0,12.0,0.932
78,15.0,1.0,0.0755
79,15.0,2.0,0.1445
80,15.0,3.0,0.2106
81,15.0,4.0,0.2779
82,15.0,5.0,0.3596
83,15.0,6.0,0.4312
84,15.0,7.0,0.5009
85,15.0,8.0,0.5738
86,15.0,9.0,0.6454
87,15.0,10.0,0.7181
88,15.0,11.0,0.7873
89,15.0,12.0,0.8587
90,15.0,13.0,0.9285
91,16.0,1.0,0.0657
92,16.0,2.0,0.1394
93,16.0,3.0,0.2012
94,16.0,4.0,0.2702
95,16.0,5.0,0.3307
96,16.0,6.0,0.3978
97,16.0,7.0,0.4706
98,16.0,8.0,0.5356
99,16.0,9.0,0.6149
100,16.0,10.0,0.6699
101,16.0,11.0,0.7442
102,16.0,12.0,0.8082
103,16.0,13.0,0.8678
104,16.0,14.0,0.9375
105,17.0,1.0,0.0635
106,17.0,2.0,0.1267
107,17.0,3.0,0.1815
108,17.0,4.0,0.2491
109,17.0,5.0,0.3119
110,17.0,6.0,0.3777
111,17.0,7.0,0.4486
112,17.0,8.0,0.5059
113,17.0,9.0,0.565
114,17.0,10.0,0.6308
115,17.0,11.0,0.6953
116,17.0,12.0,0.746
117,17.0,13.0,0.8063
118,17.0,14.0,0.8789
119,17.0,15.0,0.9404
120,18.0,1.0,0.0591
121,18.0,2.0,0.1156
122,18.0,3.0,0.1742
123,18.0,4.0,0.2396
124,18.0,5.0,0.3011
125,18.0,6.0,0.3594
126,18.0,7.0,0.4131
127,18.0,8.0,0.4702
128,18.0,9.0,0.527
129,18.0,10.0,0.5906
130,18.0,11.0,0.6602
131,18.0,12.0,0.707
132,18.0,13.0,0.7688
133,18.0,14.0,0.8209
134,18.0,15.0,0.8833
135,18.0,16.0,0.9474
136,19.0,1.0,0.0563
137,19.0,2.0,0.1101
138,19.0,3.0,0.1696
139,19.0,4.0,0.2296
140,19.0,5.0,0.2834
141,19.0,6.0,0.3282
142,19.0,7.0,0.3794
143,19.0,8.0,0.4463
144,19.0,9.0,0.5047
145,19.0,10.0,0.5526
146,19.0,11.0,0.6134
147,19.0,12.0,0.6734
148,19.0,13.0,0.7273
149,19.0,14.0,0.7858
150,19.0,15.0,0.8388
151,19.0,16.0,0.8954
152,19.0,17.0,0.9474
153,20.0,1.0,0.0505
154,20.0,2.0,0.107
155,20.0,3.0,0.1636
156,20.0,4.0,0.2058
157,20.0,5.0,0.2683
158,20.0,6.0,0.3128
159,20.0,7.0,0.368
160,20.0,8.0,0.4249
161,20.0,9.0,0.4738
162,20.0,10.0,0.5265
163,20.0,11.0,0.5809
164,20.0,12.0,0.6319
165,20.0,13.0,0.6855
166,20.0,14.0,0.7384
167,20.0,15.0,0.7887
168,20.0,16.0,0.8404
169,20.0,17.0,0.8944
170,20.0,18.0,0.9503
171,21.0,1.0,0.05
172,21.0,2.0,0.1029
173,21.0,3.0,0.1512
174,21.0,4.0,0.198
175,21.0,5.0,0.2486
176,21.0,6.0,0.3096
177,21.0,7.0,0.3511
178,21.0,8.0,0.4072
179,21.0,9.0,0.453
180,21.0,10.0,0.4946
181,21.0,11.0,0.5425
182,21.0,12.0,0.5959
183,21.0,13.0,0.643
184,21.0,14.0,0.7001
185,21.0,15.0,0.7532
186,21.0,16.0,0.7977
187,21.0,17.0,0.8561
188,21.0,18.0,0.9065
189,21.0,19.0,0.9495
190,22.0,1.0,0.0493
191,22.0,2.0,0.0969
192,22.0,3.0,0.1468
193,22.0,4.0,0.1895
194,22.0,5.0,0.2361
195,22.0,6.0,0.2786
196,22.0,7.0,0.3325
197,22.0,8.0,0.3876
198,22.0,9.0,0.4287
199,22.0,10.0,0.4789
200,22.0,11.0,0.5197
201,22.0,12.0,0.5831
202,22.0,13.0,0.6209
203,22.0,14.0,0.6638
204,22.0,15.0,0.7211
205,22.0,16.0,0.7619
206,22.0,17.0,0.8076
207,22.0,18.0,0.8535
208,22.0,19.0,0.9075
209,22.0,20.0,0.9538
210,23.0,1.0,0.0453
211,23.0,2.0,0.0913
212,23.0,3.0,0.1381
213,23.0,4.0,0.1843
214,23.0,5.0,0.2224
215,23.0,6.0,0.2753
216,23.0,7.0,0.3169
217,23.0,8.0,0.3596
218,23.0,9.0,0.4068
219,23.0,10.0,0.4579
220,23.0,11.0,0.498
221,23.0,12.0,0.5432
222,23.0,13.0,0.5972
223,23.0,14.0,0.646
224,23.0,15.0,0.6823
225,23.0,16.0,0.7305
226,23.0,17.0,0.782
227,23.0,18.0,0.8156
228,23.0,19.0,0.8697
229,23.0,20.0,0.91
230,23.0,21.0,0.9541
231,24.0,1.0,0.0401
232,24.0,2.0,0.0871
233,24.0,3.0,0.1349
234,24.0,4.0,0.1727
235,24.0,5.0,0.2209
236,24.0,6.0,0.2578
237,24.0,7.0,0.3043
238,24.0,8.0,0.3495
239,24.0,9.0,0.3935
240,24.0,10.0,0.4387
241,24.0,11.0,0.4822
242,24.0,12.0,0.5313
243,24.0,13.0,0.5579
244,24.0,14.0,0.6042
245,24.0,15.0,0.6516
246,24.0,16.0,0.693
247,24.0,17.0,0.7425
248,24.0,18.0,0.7843
249,24.0,19.0,0.8286
250,24.0,20.0,0.8696
251,24.0,21.0,0.911
252,24.0,22.0,0.9586
253,25.0,1.0,0.0431
254,25.0,2.0,0.087
255,25.0,3.0,0.1334
256,25.0,4.0,0.1685
257,25.0,5.0,0.2049
258,25.0,6.0,0.2526
259,25.0,7.0,0.3039
260,25.0,8.0,0.3381
261,25.0,9.0,0.3746
262,25.0,10.0,0.4165
263,25.0,11.0,0.4589
264,25.0,12.0,0.4998
265,25.0,13.0,0.5509
266,25.0,14.0,0.5878
267,25.0,15.0,0.6246
268,25.0,16.0,0.6662
269,25.0,17.0,0.7109
270,25.0,18.0,0.7564
271,25.0,19.0,0.7917
272,25.0,20.0,0.8384
273,25.0,21.0,0.8754
274,25.0,22.0,0.9196
275,25.0,23.0,0.9597
